Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Baiko	Kevin		D	NC03	2019	4/8/2019	9114531
Hon.	Baird	James R.		O	IN04	2019	8/13/2020	10038608
Hon.	Baird	James R.		X	IN04	2019	4/15/2020	30008486
Mr.	Baker	Edward		D	OR03	2019	8/15/2019	40001610
	Balderson	Troy		O	OH12	2019	8/13/2020	10036857
	Balderson	Troy		X	OH12	2019	4/15/2020	30008491
	Baldini	James		D	NJ05	2019	5/23/2019	9114895
	Bales	Andrew Peter		C	IN05	2019	2/21/2020	10031151
	Bales	Andrew Peter		D	IN05	2019	12/4/2019	40001774
	Bales	Andrew Peter		D	IN05	2019	12/6/2019	8216795
	Balkin	Alex		C	CA50	2019	2/4/2019	10025147
	Balter	Dana		A	NY24	2019	7/29/2020	10036154
	Balter	Dana		C	NY24	2019	8/13/2019	10027698
	Balter	Dana		X	NY24	2019	5/17/2019	9114706
	Bambenek	John Christian		W	IL15	2019	1/8/2020	6658
Hon.	Banks	James E.		O	IN03	2019	8/13/2020	10036434
Hon.	Banks	James E.		X	IN03	2019	4/15/2020	30008502
Mr.	Banner	Michael Douglas		D	ID01	2019	2/20/2020	8216989
	Bansal	Krishna K.		C	IL11	2019	12/26/2019	10032293
	Banyai	Cindy Lyn		C	FL19	2019	1/21/2020	10032414
	Barbosa	Jennifer		C	CA28	2019	12/18/2019	10032274
	Barbosa	Jennifer		D	CA28	2019	5/10/2019	9114630
	Barkley	Michael James Mr		C	CA10	2019	12/7/2019	10031213
	Barkley	Michael James Mr		D	CA10	2019	11/26/2019	8216765
Hon.	Barletta	Lou		T	PA11	2019	1/24/2019	10025047
	Barnes	Sanjanetta		C	TX14	2019	10/6/2019	10028443
	Barnes	Sanjanetta		X	TX14	2019	6/14/2019	30005947
	Baroness Von Behr	Irina		D	AZ09	2019	11/15/2019	8216701
Hon.	Barr	Garland "Andy"		O	KY06	2019	7/30/2020	8217430
Hon.	Barr	Garland "Andy"		X	KY06	2019	4/15/2020	30008515
Hon.	Barragan	Nanette		O	CA44	2019	6/20/2020	10036510
Hon.	Barragan	Nanette		X	CA44	2019	4/15/2020	30008517
	Barresi	Janet		C	OK05	2019	10/31/2019	10029814
	Barresi	Peter Robert		C	CT05	2019	6/8/2020	10036352
	Barrett	Dana		C	GA11	2019	1/28/2020	10029818
	Barrett	Dana		X	GA11	2019	10/31/2019	30006208
Dr.	Bartlett	Richard		C	TX11	2019	10/4/2019	9115455
Dr.	Bartlett	Richard		W		2019		9115462
Hon.	Barton	Joe		T	TX06	2019	2/26/2019	9114427
Hon.	Barton	Joe		X	TX06	2019	2/12/2019	9114385
	Basaran	Alpaslan		C	NJ09	2019	7/4/2019	10028678
	Basora	Frangell		D	NY15	2019	7/18/2019	40001581
Hon.	Bass	Karen		O	CA37	2019	8/13/2020	10037829
Hon.	Bass	Karen		X	CA37	2019	4/15/2020	30008529
	Batch	Brandon		C	TX11	2019	12/4/2019	10029793
	Batch	Brandon		X	TX11	2019	11/1/2019	30006212
	Bateman	Ben		W		2019		8217096
	Bauer	Mark Andrew		D	TX24	2019	1/29/2020	40002843
	Beach	Brandon		C	GA06	2019	5/14/2019	10027493
	Beal	Brent		C	TX01	2019	5/22/2019	10028141
Hon.	Beatty	Joyce		O	OH03	2019	8/9/2020	10037845
Hon.	Beatty	Joyce		P	OH03	2019	2/21/2019	9114410
Hon.	Beatty	Joyce		P	OH03	2019	6/12/2019	9115041
Hon.	Beatty	Joyce		X	OH03	2019	4/15/2020	30008542
	Becchi	Rosemary		C	NJ07	2019	9/12/2019	10029409
	Becker	Matt		C	FL13	2019	8/21/2019	9115327
	Beckstrand	Daniel		C	UT04	2019	2/12/2020	10033631
	Beckwith	Micah		C	IN05	2019	9/11/2019	10028737
	Beckwith	Micah		X	IN05	2019	7/19/2019	30006050
	Bedonie	Karen E.		C	NM03	2019	10/21/2019	10029666
	Belcher	Daniel Joseph		D	OK05	2019	10/2/2019	9115457
	Bell	Adrienne		C	TX14	2019	5/14/2019	10027253
Mr.	Bell	James Jerome		D	OH11	2019	11/18/2019	8216688
	Bell	Jarome		C	VA02	2019	4/19/2020	10030016
	Bell	Jarome		D	VA02	2019	11/22/2019	8216761
	Bell	Jennifer Ann		C	OH12	2019	2/20/2020	8216999
	Bell	Jennifer Ann		D	OH12	2019	10/2/2019	9115461
	Belsito	Jamie Marie Zahlaway		C	MA06	2019	6/13/2019	10027929
	Belsito	Jamie Marie Zahlaway		X	MA06	2019	5/20/2019	30005757
	Belvin	Kenneth Lewis	III	D	NY16	2019	5/30/2019	9114929
	Belvin	Kenneth Lewis	III	D	NY16	2019	6/19/2019	40001541
	Ben-Dov	Naora		W		2019		8217043
Ms.	Ben-Moyal	Karen		A	TX14	2019	12/24/2019	10032322
Ms.	Ben-Moyal	Karen		A	TX14	2019	12/28/2019	10032337
Ms.	Ben-Moyal	Karen		A	TX14	2019	5/16/2020	10032403
Ms.	Ben-Moyal	Karen		A	TX14	2019	5/16/2020	10036036
Ms.	Ben-Moyal	Karen		C	TX14	2019	12/9/2019	10029916
Ms.	Ben-Moyal	Karen		D	TX14	2019	11/7/2019	40001699
